title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src,type,stars_list,genre_list,rating_norm,runtime_norm
A Royal Christmas Match,,85.0,5.5,,"Comedy, Romance",2022.0,"Princess Camille travels to America to create a college exchange program and falls for professor Rhett, but when she discovers he was hired by her father to babysit her, she wonders if he cares more about her or his career.",Jonathan MacPherson,"Jordana Largy, Matthew MacCaull, Bronwen Smith, Ashley Alexander, ",314,,"https://m.media-amazon.com/images/M/MV5BMjg4NzYzOGEtMzM5Ni00YmFjLWFlYWQtMjU0YmFkN2ZkOWQ4XkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie,"['Jordana Largy', 'Matthew MacCaull', 'Bronwen Smith', 'Ashley Alexander']","['Comedy', 'Romance']",0.5316455696202532,0.42424242424242425
Oh Christmas Tree!,TV-G,87.0,6.3,,"Comedy, Family, Romance",2013.0,"After a woman unexpectedly loses her job, she must work at her family's Christmas-tree lot to make ends meet during the holiday season.",Craig Pryce,"Sarah Lancaster, Eric Johnson, Colin Mochrie, Gregory Ambrose Calderone, ","2,486",,"https://m.media-amazon.com/images/M/MV5BY2JmNTA3ODgtN2Q5Ni00ZDMwLTk0MjMtMTRmOTMzYWUyMjNkXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Sarah Lancaster', 'Eric Johnson', 'Colin Mochrie', 'Gregory Ambrose Calderone']","['Comedy', 'Family', 'Romance']",0.6329113924050633,0.43434343434343436
The Tree That Saved Christmas,TV-G,88.0,6.1,,"Drama, Romance",2014.0,A woman returns to her Vermont hometown to try and save her family's Christmas tree farm from foreclosure.,David Winning,"Lacey Chabert, Corey Sevier, Matthew Kevin Anderson, Jim Thorburn, ","1,240",,"https://m.media-amazon.com/images/M/MV5BNTcwNzU4MTY1MF5BMl5BanBnXkFtZTgwODc3NzQ5MjE@._V1_UY209_CR7,0,140,209_AL_.jpg",Movie,"['Lacey Chabert', 'Corey Sevier', 'Matthew Kevin Anderson', 'Jim Thorburn']","['Drama', 'Romance']",0.6075949367088608,0.4393939393939394
12 Days of Giving,TV-G,87.0,6.0,,"Comedy, Drama, Family",2017.0,"After winning a $50,000 prize, a man decides to pay things forward by buying Christmas gifts for strangers under the pseudonym ""Lucky the Elf.""",Christine Conradt,"Ashley Jones, David Blue, Jax Connolly, Preston James Hillier, ","1,089",,"https://m.media-amazon.com/images/M/MV5BYWMzZjliZTAtYzFkMS00Y2IwLWFkOWMtNDYyOTNkMDFhYzBiXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Ashley Jones', 'David Blue', 'Jax Connolly', 'Preston James Hillier']","['Comedy', 'Drama', 'Family']",0.5949367088607596,0.43434343434343436
Christmas in the Highlands,,84.0,4.7,,"Comedy, Drama, Romance",2019.0,A New York sales manager is sent to the remote Scottish Highlands at Christmas to acquire a limited edition perfume from a dashing Earl preparing for his annual ball and falls in love instead.,Ryan Dewar,"Dan Jeannotte, Brooke Burfitt, Nicholas Farrell, Geraldine Somerville, ",833,,"https://m.media-amazon.com/images/M/MV5BYWY5ZmZjNDItMTZkZS00YzkwLWFmZmItMzY5NTIyODUzNjNhXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie,"['Dan Jeannotte', 'Brooke Burfitt', 'Nicholas Farrell', 'Geraldine Somerville']","['Comedy', 'Drama', 'Romance']",0.4303797468354431,0.41919191919191917
Christmas a la Mode,TV-PG,87.0,6.4,,"Drama, Romance",2019.0,A woman needs a miracle in order to save her family's farm and her father's legacy in time for a happy Christmas.,John Stimpson,"Katie Leclerc, Ryan Cooper, Jennifer Ellis, Kathy Harum, ","1,074",,"https://m.media-amazon.com/images/M/MV5BZjZkNWQzMTItMTAwMy00OGM1LWE1ZTQtMDJkZjM2YTRiZDI0XkEyXkFqcGdeQXVyMTE5MTkxMjAx._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Katie Leclerc', 'Ryan Cooper', 'Jennifer Ellis', 'Kathy Harum']","['Drama', 'Romance']",0.6455696202531647,0.43434343434343436
Christmas at Graceland: Home for the Holidays,TV-G,84.0,6.2,,"Music, Romance",2019.0,"Harper is in Memphis before Christmas, visiting her sister and family after three years working at museums in Europe. Visiting Graceland with her two nieces, Harper meets a single dad of three kids and is offered a job as temporary nanny.",Eric Close,"Kaitlin Doubleday, Adrian Grenier, Sunny Mabrey, Alan Wells, ","1,131",,"https://m.media-amazon.com/images/M/MV5BYTY5NmUwMWUtNWQ3ZC00NmE5LWE2ZDEtZDZjYmQ3NWQzZTZkXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Kaitlin Doubleday', 'Adrian Grenier', 'Sunny Mabrey', 'Alan Wells']","['Music', 'Romance']",0.6202531645569621,0.41919191919191917
Angel of Christmas,TV-G,84.0,6.2,,"Comedy, Romance",2015.0,"After she finally gets the chance to pen her very first article, an aspiring newspaper writer digs into her family history to find the perfect Christmas story.",Ron Oliver,"Jennifer Finnigan, Jonathan Scarfe, Holly Robinson Peete, Christie Laing, ","2,320",,"https://m.media-amazon.com/images/M/MV5BNDMwOGZlYzUtNGYyNi00ZmM5LThlODgtNGZkNmU3YTY4NzY2XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Jennifer Finnigan', 'Jonathan Scarfe', 'Holly Robinson Peete', 'Christie Laing']","['Comedy', 'Romance']",0.6202531645569621,0.41919191919191917
Wrapped Up in Love,TV-G,89.0,5.4,,"Comedy, Family, Romance",2021.0,"Ashley has always been the ""Christmas Queen"" in town. That is, until she meets her match, Ben, a handsome new guy in town, who loves Christmas just as much as she does. They join forces to make Christmas even more meaningful.",Michelle Ouellet,"Brittany Bristow, Olivier Renaud, Tara Joshi, Matt Wells, ",385,,"https://m.media-amazon.com/images/M/MV5BNDUwMTM1ZDAtOGQ3My00NjI1LWFkNGQtMTNiMzUwNTk3ZDk4XkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie,"['Brittany Bristow', 'Olivier Renaud', 'Tara Joshi', 'Matt Wells']","['Comedy', 'Family', 'Romance']",0.518987341772152,0.4444444444444444
Trading Christmas,TV-G,87.0,6.9,,"Comedy, Romance",2010.0,A Teacher from Washington state decides to do a house swap with a Boston Professor to be able to surprise and spend Christmas with her daughter.,Michael M. Scott,"Tom Cavanagh, Faith Ford, Gil Bellows, Gabrielle Miller, ","1,866",,"https://m.media-amazon.com/images/M/MV5BODA2Njg0MjY2MF5BMl5BanBnXkFtZTgwNDk1NzAxMzE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Tom Cavanagh', 'Faith Ford', 'Gil Bellows', 'Gabrielle Miller']","['Comedy', 'Romance']",0.708860759493671,0.43434343434343436
"Love Always, Santa",TV-G,84.0,6.7,,"Drama, Romance",2016.0,"A widow's daughter writes to Santa Claus, asking for her mother to find love again. When a struggling writer receives the letter, he finds new inspiration and the beginnings of a romance.",Brian Herzlinger,"Marguerite Moreau, Mike Faiola, Brady Smith, Isadora Swann, ","1,784",,"https://m.media-amazon.com/images/M/MV5BNzc4ZWU5NTMtM2RjYy00MmEyLTg1NDctMGU4YjcxYTQ4NDlmXkEyXkFqcGdeQXVyMjg1NDc1NA@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Marguerite Moreau', 'Mike Faiola', 'Brady Smith', 'Isadora Swann']","['Drama', 'Romance']",0.6835443037974684,0.41919191919191917
A Christmas Kiss II,Unrated,88.0,5.9,,"Comedy, Romance",2014.0,"At a Christmastime event, Jenna shares an impromptu, unforgettable kiss with the dashing billionaire, Cooper Montgomery. Unaware of his intentions and fearful of getting hurt in another ...                See full summary »",Kevin Connor,"Elisabeth Harnois, Adam Mayfield, Jonathan Bennett, Lola Glaudini, ","2,188",,"https://m.media-amazon.com/images/M/MV5BYWJlOGM0NmUtZDQyYS00N2FkLWEzNTktMzI0NjI4OTQ2MTFlXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Elisabeth Harnois', 'Adam Mayfield', 'Jonathan Bennett', 'Lola Glaudini']","['Comedy', 'Romance']",0.5822784810126583,0.4393939393939394
The Christmas Ornament,TV-G,83.0,6.8,,Romance,2013.0,"A widow plans to give Christmas festivities a miss, as they bring back too many memories of her late husband.",Mark Jean,"Kellie Martin, Cameron Mathison, Jewel Staite, Brendan Meyer, ","2,176",,"https://m.media-amazon.com/images/M/MV5BMmZiNzU3YzMtYjUyZC00YTkzLWE0NzQtYjY0MjI2OWFhZDBhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Kellie Martin', 'Cameron Mathison', 'Jewel Staite', 'Brendan Meyer']",['Romance'],0.6962025316455697,0.41414141414141414
Matchmaker Santa,TV-G,75.0,6.5,,"Comedy, Drama, Romance",2012.0,A young baker discovers the magic of Christmas and love.,David S. Cass Sr.,"Lacey Chabert, Florence Henderson, John Ratzenberger, Lin Shaye, ","2,569",,"https://m.media-amazon.com/images/M/MV5BYzIyMDhhMTItOGRiMC00ZWJkLTliNjgtOWVjNzMwOGM0NWU0XkEyXkFqcGdeQXVyMjgzMzAzMjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Lacey Chabert', 'Florence Henderson', 'John Ratzenberger', 'Lin Shaye']","['Comedy', 'Drama', 'Romance']",0.6582278481012659,0.37373737373737376
Red Snow,,80.0,5.0,43.0,"Comedy, Horror, Thriller",2021.0,A struggling vampire romance novelist must defend herself against real-life vampires during Christmas in Lake Tahoe.,Sean Nichols Lynch,"Dennice Cisneros, Nico Bellamy, Laura Kennon, Vernon Wells, ","2,118",,"https://m.media-amazon.com/images/M/MV5BYjYyNTJjZjktNWUyMS00MDc3LWJkYjMtNTQxZjFkNmUyNWNjXkEyXkFqcGdeQXVyMjI1OTY0MTM@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Dennice Cisneros', 'Nico Bellamy', 'Laura Kennon', 'Vernon Wells']","['Comedy', 'Horror', 'Thriller']",0.4683544303797469,0.398989898989899
Santa Games,,90.0,3.8,,Comedy,2022.0,"When the manager of a mall where Santa Charles work decides to replace him, he asks to find his replacement. When this ad goes viral, the interview process becomes a series of tasks and challenges leading to an all-out competition.",Keoni Waxman,"Glenn Bond, Michael Cervantes, Lala Costa, Destiny Freeman, ",151,,"https://m.media-amazon.com/images/M/MV5BY2VjODJkYjUtODBmYS00ZGNkLWE3NWUtZDA3OGNiNDRlNjNkXkEyXkFqcGdeQXVyOTYwNjI5MzU@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie,"['Glenn Bond', 'Michael Cervantes', 'Lala Costa', 'Destiny Freeman']",['Comedy'],0.31645569620253167,0.4494949494949495
Christmas Joy,TV-G,84.0,6.4,,"Family, Romance",2018.0,"Joy Holbrook is a market researcher about to get a sweet promotion just in time for the holidays. But she receives an urgent phone call from home and rushes back to help her Aunt recover from surgery, reuniting with her former crush, Ben.",Monika Mitchell,"Danielle Panabaker, Matt Long, Lucia Walters, Beverley Elliott, ","2,035",,"https://m.media-amazon.com/images/M/MV5BM2RlNzI4MjYtZDE0MC00OWRjLWEwYTgtMGY0MTcyY2UxM2ViXkEyXkFqcGdeQXVyNzg0MDM4NTc@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Danielle Panabaker', 'Matt Long', 'Lucia Walters', 'Beverley Elliott']","['Family', 'Romance']",0.6455696202531647,0.41919191919191917
Broadcasting Christmas,TV-G,84.0,6.0,,"Comedy, Drama, Family",2016.0,"Two news broadcasters who previously were in love fight for a position as a morning talk show host that they both want, ultimately finding what made them like each other so much in the first place.",Peter Sullivan,"Melissa Joan Hart, Dean Cain, Cynthia Gibb, Jackée Harry, ","2,027",,"https://m.media-amazon.com/images/M/MV5BMTk1NjE0Nzk5MF5BMl5BanBnXkFtZTgwNDA5MjE2MDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Melissa Joan Hart', 'Dean Cain', 'Cynthia Gibb', 'Jackée Harry']","['Comedy', 'Drama', 'Family']",0.5949367088607596,0.41919191919191917
A Heavenly Christmas,TV-G,93.0,6.4,,"Drama, Fantasy, Romance",2016.0,"Upon her untimely death, a workaholic who never put much value into the joys of Christmas finds herself recruited to be a Christmas Angel -- and is assigned a hard luck case that she accidentally falls in love with.",Paul Shapiro,"Kristin Davis, Eric McCormack, Shirley MacLaine, Jaeda Lily Miller, ","2,065",,"https://m.media-amazon.com/images/M/MV5BOTM1YThjOWUtZjYxMS00NTZhLTk0MzktODBlZjJhMDAyNDdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDYwNTg3OQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Kristin Davis', 'Eric McCormack', 'Shirley MacLaine', 'Jaeda Lily Miller']","['Drama', 'Fantasy', 'Romance']",0.6455696202531647,0.46464646464646464
The Santa Suit,TV-G,89.0,6.5,,"Adventure, Comedy, Family",2010.0,"Hunter Toys CEO Drake Hunter turned his father's company from a cozy quality manufacturer into a ruthless, profitable business. After denying his staff any further festive generosity, the ...                See full summary »",Robert Vaughn,"Kevin Sorbo, Jodie Dowdall, Derry Robinson, Rosemary Dunsmore, ","1,100",,"https://m.media-amazon.com/images/M/MV5BMTQ0NjEyMTY1OF5BMl5BanBnXkFtZTcwNTgwNDk5Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Kevin Sorbo', 'Jodie Dowdall', 'Derry Robinson', 'Rosemary Dunsmore']","['Adventure', 'Comedy', 'Family']",0.6582278481012659,0.4444444444444444
The Spruces and the Pines,Unrated,86.0,6.0,,"Comedy, Drama, Family",2017.0,Julie (Jonna Walsh) and Rick (Nick Ballard) fall in love despite being on opposite sides of feuding Christmas-tree-farm families.,John Stimpson,"Jonna Walsh, Nick Ballard, Tom Kemp, Ken Cheeseman, ","1,085",,"https://m.media-amazon.com/images/M/MV5BMGMxYzBmZTctZjk0My00NDcxLWIyN2UtNzI0ZTAzYjJiNDgwXkEyXkFqcGdeQXVyNDI3NjA5MTY@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie,"['Jonna Walsh', 'Nick Ballard', 'Tom Kemp', 'Ken Cheeseman']","['Comedy', 'Drama', 'Family']",0.5949367088607596,0.4292929292929293
A Christmas Memory,Not Rated,96.0,7.0,,"Drama, Family",1997.0,"Seven year old Buddy experiences the best of country life, friendship, and the joy of giving during the Christmas season. Based on the story by Truman Capote.",Glenn Jordan,"Patty Duke, Piper Laurie, Jeffrey DeMunn, Anita Gillette, ",800,,"https://m.media-amazon.com/images/M/MV5BMTQzMzcwMjE4NF5BMl5BanBnXkFtZTgwOTg1MjgwMzE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Patty Duke', 'Piper Laurie', 'Jeffrey DeMunn', 'Anita Gillette']","['Drama', 'Family']",0.7215189873417722,0.4797979797979798
Christmas Everlasting,TV-PG,85.0,6.3,,"Drama, Romance",2018.0,A hotshot lawyer returns to her childhood home following a death in the family.,Ron Oliver,"Tatyana Ali, Dondré T. Whitfield, Dennis Haysbert, Patti LaBelle, ","1,126",,"https://m.media-amazon.com/images/M/MV5BMDFjZWY5ZmMtYzE1MC00NjQ1LTk3OWMtNzFjN2M3M2U4MTM2XkEyXkFqcGdeQXVyMjQ3NTEwMzE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Tatyana Ali', 'Dondré T. Whitfield', 'Dennis Haysbert', 'Patti LaBelle']","['Drama', 'Romance']",0.6329113924050633,0.42424242424242425
Cloudy with a Chance of Christmas,,90.0,5.5,,"Comedy, Romance",2022.0,"When a weather forecaster is asked to host her network's annual snow-cast in the wintry town of Leavenworth live with the network's morning show host and a longtime rival of hers, tension brews and romantic sparks fly between them on air.",Jake Helgren,"Valery M. Ortiz, Brandon Quinn, Sarah Jane Morris, Nicole Bilderback, ",374,,"https://m.media-amazon.com/images/M/MV5BZWU1YzQzN2QtNzU5NC00MzY5LThjMzItZjk5OWFkNzlhNmI1XkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Valery M. Ortiz', 'Brandon Quinn', 'Sarah Jane Morris', 'Nicole Bilderback']","['Comedy', 'Romance']",0.5316455696202532,0.4494949494949495
Santa Baby,PG,89.0,5.5,,"Animation, Comedy, Fantasy",2006.0,"Mary Class is a highly successful business executive - who just happens to be the daughter of Santa Claus. But when her father falls ill, Mary returns to the North Pole and the life she ...                See full summary »",Ron Underwood,"Jenny McCarthy-Wahlberg, Ivan Sergei, George Wendt, Kandyse McClure, ","1,821",,"https://m.media-amazon.com/images/M/MV5BZTljOTVjZmItZDU1Mi00ZGI1LWI3YjItNzljMmFiMzUzZTZhXkEyXkFqcGdeQXVyMjczOTU2NTI@._V1_UY209_CR3,0,140,209_AL_.jpg",Movie,"['Jenny McCarthy-Wahlberg', 'Ivan Sergei', 'George Wendt', 'Kandyse McClure']","['Animation', 'Comedy', 'Fantasy']",0.5316455696202532,0.4444444444444444
Christmas at Graceland,TV-G,85.0,5.7,,"Comedy, Drama, Family",2018.0,"A Chicago-based business executive travels to Memphis to secure one of the city's oldest family-owned banks. While in Memphis she reunites with an old flame, Clay, a local music promoter with loftier aspirations.",Eric Close,"Kellie Pickler, Wes Brown, Claire Elizabeth Green, Rhoda Griffis, ","1,700",,"https://m.media-amazon.com/images/M/MV5BY2I1Y2ZjN2UtN2EwZS00ODRkLTg1MjEtMzQyY2RhZjA2YjRmXkEyXkFqcGdeQXVyNzg0MDM4NTc@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Kellie Pickler', 'Wes Brown', 'Claire Elizabeth Green', 'Rhoda Griffis']","['Comedy', 'Drama', 'Family']",0.5569620253164558,0.42424242424242425
Christmas with the Darlings,TV-G,84.0,7.1,,"Comedy, Family, Romance",2020.0,A woman helps a charming man look after his orphaned nieces and nephew during the holidays.,Catherine Cyran,"Katrina Law, Carlo Marks, Steve Bacic, Islie Hirvonen, ","1,703",,"https://m.media-amazon.com/images/M/MV5BODRmYjk5YjgtODI1ZC00OTU1LTk0MGQtYzQxZmYyMzNiOGRmXkEyXkFqcGdeQXVyMjMxMTE2MTQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Katrina Law', 'Carlo Marks', 'Steve Bacic', 'Islie Hirvonen']","['Comedy', 'Family', 'Romance']",0.7341772151898734,0.41919191919191917
Christmas with a Prince: Becoming Royal,TV-G,93.0,5.8,,Romance,2019.0,Its Christmas again and Dr Tasha is on her way to meet Prince Alexander in St. Savarre. Though this is a happy time it is also a very stressful as a treaty is being negotiated between St. ...                See full summary »,Justin G. Dyck,"Kaitlyn Leeb, Nick Hounslow, Josh Dean, Stasia Caz, ",679,,"https://m.media-amazon.com/images/M/MV5BZmRmMjgxOGEtMDQxMy00Yjc2LTkxZjctZjc2NmY2NzQ5Njg2XkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Kaitlyn Leeb', 'Nick Hounslow', 'Josh Dean', 'Stasia Caz']",['Romance'],0.569620253164557,0.46464646464646464
A Golden Christmas,TV-PG,95.0,5.5,,"Comedy, Drama, Family",2009.0,"A woman visits her parents for Christmas. Hearing that they've ""sold"" the house, she wants to buy it. At 9 she had a BFF in the woods nearby named Han Solo. She and the buyer are single, divorced and have a child each. Is he her Han?",John Murlowski,"Andrea Roth, Nicholas Brendon, Elisa Donovan, Bruce Davison, ","1,362",,"https://m.media-amazon.com/images/M/MV5BMTM2OTk0MTUzM15BMl5BanBnXkFtZTcwMDc1NzI5Mw@@._V1_UY209_CR5,0,140,209_AL_.jpg",Movie,"['Andrea Roth', 'Nicholas Brendon', 'Elisa Donovan', 'Bruce Davison']","['Comedy', 'Drama', 'Family']",0.5316455696202532,0.47474747474747475
Love You Like Christmas,TV-G,90.0,6.4,,"Drama, Romance",2016.0,A high-powered marketing executive reconsiders her priorities when car trouble strands her in a small Ohioan town for the Christmas season.,Graeme Campbell,"Bonnie Somerville, Brennan Elliott, Madison Brydges, Precious Chong, ","2,141",,"https://m.media-amazon.com/images/M/MV5BMGIxOWE3N2QtNDBlNC00NjUxLThmNzgtYTU1ODg5ZDQzZjAwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDI3NzEyNjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Bonnie Somerville', 'Brennan Elliott', 'Madison Brydges', 'Precious Chong']","['Drama', 'Romance']",0.6455696202531647,0.4494949494949495
The Enchanted Christmas Cake,,84.0,5.4,,Romance,2021.0,"Gwen recently lost her grandmother and she is struggling to run their bakery and regain the Christmas spirit, and figure out her grandmother's magical recipe for the town's legendary Enchanted Christmas Cake.",Robert Vaughn,"Erica Durance, Robin Dunne, Kyana Teresa, Paulino Nunes, ",657,,"https://m.media-amazon.com/images/M/MV5BMmQxMzNkMTktZjcxZi00ODdjLTk5Y2YtM2FhZjA2YjE4ZDAyXkEyXkFqcGdeQXVyMjIzOTA2NDk@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Erica Durance', 'Robin Dunne', 'Kyana Teresa', 'Paulino Nunes']",['Romance'],0.518987341772152,0.41919191919191917
A Very Vintage Christmas,TV-G,87.0,6.1,,"Comedy, Drama, Romance",2019.0,An antique store owner (Tia Mowry-Hardrict) discovers a memory box of sentimental trinkets and attempts to find its rightful owner.,Paul A. Kaufman,"Tia Mowry, Jesse Hutch, Patricia Richardson, Agam Darshi, ",684,,"https://m.media-amazon.com/images/M/MV5BNTlhNWY2YTYtNTExYS00NzM1LWJjM2QtODc4YjBiOTczM2FhXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie,"['Tia Mowry', 'Jesse Hutch', 'Patricia Richardson', 'Agam Darshi']","['Comedy', 'Drama', 'Romance']",0.6075949367088608,0.43434343434343436
Christmas Child,Not Rated,96.0,6.2,,Drama,2004.0,A life-sized nativity leads a man to learn about his past and lost family.,Bill Ewing,"Bart Gavigan, William R. Moses, Tonya Bordeaux, Steven Curtis Chapman, Megan Follows, ",650,,"https://m.media-amazon.com/images/M/MV5BMjAxOTIyNjc4MV5BMl5BanBnXkFtZTcwNjE4OTQ5Mw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Bart Gavigan', 'William R. Moses', 'Tonya Bordeaux', 'Steven Curtis Chapman', 'Megan Follows']",['Drama'],0.6202531645569621,0.4797979797979798
Christmas Love Letter,TV-PG,86.0,6.1,,"Comedy, Drama, Mystery",2019.0,"When relationship advice columnist Amalie Hess receives an unsigned love letter in a Christmas card, she returns to her hometown to solve the mystery of who sent it and maybe find true love.",Damián Romay,"Ashley Newbrough, Tilky Jones, Izzy Herbert, Ray Bengston, ",642,,"https://m.media-amazon.com/images/M/MV5BM2EyMzE5ZDQtZTMyNC00MTExLThlMmYtNGFjNDc5MTViOWQyXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Ashley Newbrough', 'Tilky Jones', 'Izzy Herbert', 'Ray Bengston']","['Comedy', 'Drama', 'Mystery']",0.6075949367088608,0.4292929292929293
Christmas Eve on Sesame Street,TV-Y,60.0,8.4,,"Comedy, Family, Music",1978.0,"Big Bird worries when Oscar tells him that if Santa Claus can't fit down the chimney on Christmas Eve, nobody would get presents.",Jon Stone,"Jim Henson, Frank Oz, Jerry Nelson, Richard Hunt, ","1,066",,"https://m.media-amazon.com/images/M/MV5BMzVhNzIzZWUtZDgyNC00NTViLTgyMGYtNDNiZDM0NjgzZWVmXkEyXkFqcGdeQXVyODUzMjQxMTA@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Jim Henson', 'Frank Oz', 'Jerry Nelson', 'Richard Hunt']","['Comedy', 'Family', 'Music']",0.89873417721519,0.29797979797979796
Heidi,Passed,88.0,7.2,,"Drama, Family, Musical",1937.0,"A plucky little orphan girl gets dumped abruptly into her gruff, hermit grandfather's care, then later gets retaken and delivered as a companion for an injured girl.",Allan Dwan,"Shirley Temple, Jean Hersholt, Arthur Treacher, Helen Westley, ","4,854",,"https://m.media-amazon.com/images/M/MV5BMzRlZThjM2QtNWRjNi00MjU2LWE4NWMtMmJjOWNhNGQxMTYyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Shirley Temple', 'Jean Hersholt', 'Arthur Treacher', 'Helen Westley']","['Drama', 'Family', 'Musical']",0.7468354430379748,0.4393939393939394
Backfire,Passed,91.0,6.6,,"Crime, Film-Noir, Mystery",1950.0,"While recuperating from wartime back injuries at a hospital, veteran Bob Corey is visited on Christmas Eve by a beautiful stranger with an even stranger message.",Vincent Sherman,"Viveca Lindfors, Dane Clark, Virginia Mayo, Edmond O'Brien, ","1,692",,"https://m.media-amazon.com/images/M/MV5BZmRhZjlmNWEtN2YyNy00ZjNhLWE2MzItMGI2OGRiNTY2NTM4XkEyXkFqcGdeQXVyNjgzMzEyNjc@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Viveca Lindfors', 'Dane Clark', 'Virginia Mayo', ""Edmond O'Brien""]","['Crime', 'Film-Noir', 'Mystery']",0.6708860759493671,0.45454545454545453
Spotlight on Christmas,TV-PG,84.0,6.1,,"Drama, Romance",2020.0,"Dumped before Christmas, famous Hollywood actress Olivia secretly returns to her hometown to eat cookies and avoid the press. Instead, she must step up to take the starring role in her own life.",Ali Liebert,"Tori Anderson, Victor Zinck Jr., Lia Frankland, Janet Kidder, ",910,,"https://m.media-amazon.com/images/M/MV5BYTBjZTZhZWQtZTNkYy00Yjc0LTk1N2ItYzEzYzI0NmY5MjIzXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie,"['Tori Anderson', 'Victor Zinck Jr.', 'Lia Frankland', 'Janet Kidder']","['Drama', 'Romance']",0.6075949367088608,0.41919191919191917
The Christmas Sitters,,80.0,5.4,,"Comedy, Romance",2020.0,"Facing holiday flight delays on a return trip from Europe, two parents double-book incompatible babysitters: the mother's BFF lawyer friend, Nora, and the dad's guitarist half-brother, Max,...                See full summary »",Dylan Vox,"Tristin Mays, Nathan Owens, Melissa Ordway, Justin Gaston, ",250,,"https://m.media-amazon.com/images/M/MV5BZmE0MzUyNzktY2NkNC00Njg3LTkzNmMtM2EyNTczYjYxZTY5XkEyXkFqcGdeQXVyNzcwNzYyNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Tristin Mays', 'Nathan Owens', 'Melissa Ordway', 'Justin Gaston']","['Comedy', 'Romance']",0.518987341772152,0.398989898989899
